,destination,come_from,total,year,month
921,Galicia,Foreign,73408,2016,Nov
922,Galicia,Foreign,209345,2016,Oct
923,Galicia,Foreign,285702,2016,Sep
924,Galicia,Foreign,294556,2016,Aug
925,Galicia,Foreign,243160,2016,Jul
926,Galicia,Foreign,248405,2016,Jun
927,Galicia,Foreign,231903,2016,May
928,Galicia,Foreign,131829,2016,Apr
929,Galicia,Foreign,75326,2016,Mar
930,Galicia,Foreign,45139,2016,Feb
931,Galicia,Foreign,43295,2016,Jan
932,Galicia,Foreign,49907,2015,Dec
933,Galicia,Foreign,64164,2015,Nov
934,Galicia,Foreign,183448,2015,Oct
935,Galicia,Foreign,268376,2015,Sep
936,Galicia,Foreign,286250,2015,Aug
937,Galicia,Foreign,240253,2015,Jul
938,Galicia,Foreign,237804,2015,Jun
939,Galicia,Foreign,210203,2015,May
940,Galicia,Foreign,124997,2015,Apr
941,Galicia,Foreign,67772,2015,Mar
942,Galicia,Foreign,42917,2015,Feb
943,Galicia,Foreign,40314,2015,Jan
944,Galicia,Foreign,43061,2014,Dec
945,Galicia,Foreign,57526,2014,Nov
946,Galicia,Foreign,163402,2014,Oct
947,Galicia,Foreign,235663,2014,Sep
948,Galicia,Foreign,249743,2014,Aug
949,Galicia,Foreign,199653,2014,Jul
950,Galicia,Foreign,200813,2014,Jun
951,Galicia,Foreign,200891,2014,May
952,Galicia,Foreign,107080,2014,Apr
953,Galicia,Foreign,52839,2014,Mar
954,Galicia,Foreign,39940,2014,Feb
955,Galicia,Foreign,35909,2014,Jan
956,Galicia,Foreign,41925,2013,Dec
957,Galicia,Foreign,52661,2013,Nov
958,Galicia,Foreign,134712,2013,Oct
959,Galicia,Foreign,198426,2013,Sep
960,Galicia,Foreign,220304,2013,Aug
961,Galicia,Foreign,177972,2013,Jul
962,Galicia,Foreign,184894,2013,Jun
963,Galicia,Foreign,160847,2013,May
964,Galicia,Foreign,96028,2013,Apr
965,Galicia,Foreign,69053,2013,Mar
966,Galicia,Foreign,43089,2013,Feb
967,Galicia,Foreign,37602,2013,Jan
968,Galicia,Foreign,47885,2012,Dec
969,Galicia,Foreign,55094,2012,Nov
970,Galicia,Foreign,125785,2012,Oct
971,Galicia,Foreign,190141,2012,Sep
972,Galicia,Foreign,201591,2012,Aug
973,Galicia,Foreign,157990,2012,Jul
974,Galicia,Foreign,154880,2012,Jun
975,Galicia,Foreign,144212,2012,May
976,Galicia,Foreign,98711,2012,Apr
977,Galicia,Foreign,53837,2012,Mar
978,Galicia,Foreign,44289,2012,Feb
979,Galicia,Foreign,40126,2012,Jan
980,Galicia,Foreign,40638,2011,Dec
981,Galicia,Foreign,53294,2011,Nov
982,Galicia,Foreign,115645,2011,Oct
983,Galicia,Foreign,165804,2011,Sep
984,Galicia,Foreign,208201,2011,Aug
985,Galicia,Foreign,166755,2011,Jul
986,Galicia,Foreign,160080,2011,Jun
987,Galicia,Foreign,139715,2011,May
988,Galicia,Foreign,96470,2011,Apr
989,Galicia,Foreign,55903,2011,Mar
990,Galicia,Foreign,44357,2011,Feb
991,Galicia,Foreign,43074,2011,Jan
992,Galicia,Foreign,46780,2010,Dec
993,Galicia,Foreign,53822,2010,Nov
994,Galicia,Foreign,137978,2010,Oct
995,Galicia,Foreign,180775,2010,Sep
996,Galicia,Foreign,209372,2010,Aug
997,Galicia,Foreign,182414,2010,Jul
998,Galicia,Foreign,150768,2010,Jun
999,Galicia,Foreign,144302,2010,May
1000,Galicia,Foreign,99875,2010,Apr
1001,Galicia,Foreign,62717,2010,Mar
1002,Galicia,Foreign,54271,2010,Feb
1003,Galicia,Foreign,43100,2010,Jan
1004,Galicia,Foreign,45518,2009,Dec
1005,Galicia,Foreign,59618,2009,Nov
1006,Galicia,Foreign,121471,2009,Oct
1007,Galicia,Foreign,150910,2009,Sep
1008,Galicia,Foreign,164740,2009,Aug
1009,Galicia,Foreign,149924,2009,Jul
1010,Galicia,Foreign,136212,2009,Jun
1011,Galicia,Foreign,131560,2009,May
1012,Galicia,Foreign,87697,2009,Apr
1013,Galicia,Foreign,60314,2009,Mar
1014,Galicia,Foreign,53911,2009,Feb
1015,Galicia,Foreign,52008,2009,Jan
