,destination,come_from,total,year,month
435,Galicia,Foreign,17306,2010,Jan
436,Galicia,Foreign,23604,2009,Dec
437,Galicia,Foreign,27055,2009,Nov
438,Galicia,Foreign,69495,2009,Oct
439,Galicia,Foreign,83460,2009,Sep
440,Galicia,Foreign,89208,2009,Aug
441,Galicia,Foreign,77905,2009,Jul
442,Galicia,Foreign,76733,2009,Jun
443,Galicia,Foreign,75190,2009,May
444,Galicia,Foreign,47184,2009,Apr
445,Galicia,Foreign,26695,2009,Mar
446,Galicia,Foreign,25126,2009,Feb
447,Galicia,Foreign,20615,2009,Jan
448,Galicia,Foreign,24374,2008,Dec
449,Galicia,Foreign,30082,2008,Nov
450,Galicia,Foreign,63188,2008,Oct
451,Galicia,Foreign,84236,2008,Sep
452,Galicia,Foreign,92906,2008,Aug
453,Galicia,Foreign,80528,2008,Jul
454,Galicia,Foreign,79605,2008,Jun
455,Galicia,Foreign,86352,2008,May
456,Galicia,Foreign,56891,2008,Apr
457,Galicia,Foreign,38381,2008,Mar
458,Galicia,Foreign,29706,2008,Feb
459,Galicia,Foreign,27043,2008,Jan
460,Galicia,Foreign,29402,2007,Dec
461,Galicia,Foreign,35728,2007,Nov
462,Galicia,Foreign,76623,2007,Oct
463,Galicia,Foreign,89593,2007,Sep
464,Galicia,Foreign,102940,2007,Aug
465,Galicia,Foreign,85287,2007,Jul
466,Galicia,Foreign,87262,2007,Jun
467,Galicia,Foreign,80021,2007,May
468,Galicia,Foreign,59545,2007,Apr
469,Galicia,Foreign,34004,2007,Mar
470,Galicia,Foreign,29110,2007,Feb
471,Galicia,Foreign,22191,2007,Jan
472,Galicia,Foreign,29890,2006,Dec
473,Galicia,Foreign,28609,2006,Nov
474,Galicia,Foreign,61369,2006,Oct
475,Galicia,Foreign,81536,2006,Sep
476,Galicia,Foreign,95480,2006,Aug
477,Galicia,Foreign,79455,2006,Jul
478,Galicia,Foreign,72335,2006,Jun
479,Galicia,Foreign,69669,2006,May
480,Galicia,Foreign,56099,2006,Apr
481,Galicia,Foreign,28351,2006,Mar
482,Galicia,Foreign,27239,2006,Feb
483,Galicia,Foreign,24410,2006,Jan
484,Galicia,Foreign,30622,2005,Dec
485,Galicia,Foreign,33974,2005,Nov
486,Galicia,Foreign,60491,2005,Oct
487,Galicia,Foreign,76562,2005,Sep
488,Galicia,Foreign,94104,2005,Aug
489,Galicia,Foreign,78224,2005,Jul
490,Galicia,Foreign,73130,2005,Jun
491,Galicia,Foreign,62221,2005,May
492,Galicia,Foreign,46791,2005,Apr
493,Galicia,Foreign,29215,2005,Mar
494,Galicia,Foreign,21723,2005,Feb
495,Galicia,Foreign,19574,2005,Jan
496,Galicia,Foreign,24298,2004,Dec
497,Galicia,Foreign,27273,2004,Nov
498,Galicia,Foreign,58544,2004,Oct
499,Galicia,Foreign,76224,2004,Sep
500,Galicia,Foreign,89248,2004,Aug
501,Galicia,Foreign,73944,2004,Jul
502,Galicia,Foreign,69306,2004,Jun
503,Galicia,Foreign,60474,2004,May
504,Galicia,Foreign,39052,2004,Apr
505,Galicia,Foreign,23490,2004,Mar
506,Galicia,Foreign,27881,2004,Feb
507,Galicia,Foreign,17117,2004,Jan
508,Galicia,Foreign,23618,2003,Dec
509,Galicia,Foreign,28164,2003,Nov
510,Galicia,Foreign,46137,2003,Oct
511,Galicia,Foreign,74183,2003,Sep
512,Galicia,Foreign,88235,2003,Aug
513,Galicia,Foreign,62536,2003,Jul
514,Galicia,Foreign,57548,2003,Jun
515,Galicia,Foreign,53264,2003,May
516,Galicia,Foreign,42114,2003,Apr
517,Galicia,Foreign,24806,2003,Mar
518,Galicia,Foreign,15886,2003,Feb
519,Galicia,Foreign,15409,2003,Jan
520,Galicia,Foreign,22947,2002,Dec
521,Galicia,Foreign,20574,2002,Nov
522,Galicia,Foreign,40162,2002,Oct
523,Galicia,Foreign,60543,2002,Sep
524,Galicia,Foreign,78887,2002,Aug
525,Galicia,Foreign,56728,2002,Jul
526,Galicia,Foreign,53667,2002,Jun
527,Galicia,Foreign,48252,2002,May
528,Galicia,Foreign,38022,2002,Apr
529,Galicia,Foreign,24406,2002,Mar
530,Galicia,Foreign,17863,2002,Feb
531,Galicia,Foreign,11998,2002,Jan
532,Galicia,Foreign,20967,2001,Dec
533,Galicia,Foreign,21212,2001,Nov
534,Galicia,Foreign,40615,2001,Oct
535,Galicia,Foreign,54881,2001,Sep
536,Galicia,Foreign,72248,2001,Aug
537,Galicia,Foreign,59357,2001,Jul
538,Galicia,Foreign,52104,2001,Jun
539,Galicia,Foreign,42735,2001,May
540,Galicia,Foreign,34462,2001,Apr
541,Galicia,Foreign,23163,2001,Mar
542,Galicia,Foreign,24422,2001,Feb
543,Galicia,Foreign,10642,2001,Jan
544,Galicia,Foreign,26437,2000,Dec
545,Galicia,Foreign,21204,2000,Nov
546,Galicia,Foreign,42594,2000,Oct
547,Galicia,Foreign,63181,2000,Sep
548,Galicia,Foreign,72870,2000,Aug
549,Galicia,Foreign,62133,2000,Jul
550,Galicia,Foreign,45647,2000,Jun
551,Galicia,Foreign,37581,2000,May
552,Galicia,Foreign,32683,2000,Apr
553,Galicia,Foreign,22132,2000,Mar
554,Galicia,Foreign,12504,2000,Feb
555,Galicia,Foreign,10635,2000,Jan
556,Galicia,Foreign,16848,1999,Dec
557,Galicia,Foreign,19050,1999,Nov
558,Galicia,Foreign,39303,1999,Oct
559,Galicia,Foreign,61731,1999,Sep
560,Galicia,Foreign,62432,1999,Aug
561,Galicia,Foreign,55876,1999,Jul
562,Galicia,Foreign,48530,1999,Jun
563,Galicia,Foreign,33821,1999,May
564,Galicia,Foreign,33359,1999,Apr
565,Galicia,Foreign,16005,1999,Mar
566,Galicia,Foreign,11487,1999,Feb
567,Galicia,Foreign,8395,1999,Jan
