come_from,year,trimester,avg_person_day,avg_person,percentage_Galicia,percentage_Spain
Mexico,2019,4,123.36,453.56,4.8,9.58
Mexico,2019,3,123.64,459.95,4.08,11.56
Mexico,2019,2,132.05,413.28,3.75,8.43
Mexico,2019,1,102.89,266.09,4.78,8.18
Mexico,2018,4,120.52,377.06,4.58,9.86
Mexico,2018,3,108.28,457.56,3.84,12.21
Mexico,2018,2,110.02,363.13,3.33,8.75
Mexico,2018,1,109.84,397.11,4.61,12.23
Others America,2022,1,78.4,294.32,3.77,4.2
Others America,2021,4,79.58,278.05,3.73,4.63
Others America,2021,3,91.23,282.79,2.92,6.07
Others America,2021,2,100.09,226.28,2.92,5.91
Others America,2021,1,63.66,177.94,4.35,5.89
Others America,2020,4,80.21,190.51,3.78,7.71
Others America,2020,3,76.77,209.42,2.55,7.01
Others America,2020,2,0.0,0.0,0.0,0.0
Others America,2020,1,91.63,325.6,4.6,4.32
Others America,2019,4,97.27,357.76,3.45,3.96
Others America,2019,3,90.72,337.28,2.5,4.81
Others America,2019,2,103.27,323.8,2.8,3.82
Others America,2019,1,85.38,221.46,3.73,3.42
Others America,2018,4,95.8,300.07,3.19,3.99
Others America,2018,3,78.25,331.67,2.27,5.07
Others America,2018,2,106.35,349.83,2.94,4.53
Others America,2018,1,112.34,409.76,4.09,5.88
Australia,2022,1,70.06,258.92,0.22,3.22
Australia,2021,4,67.17,246.6,0.15,3.29
Australia,2021,3,54.35,168.93,0.07,2.75
Australia,2021,2,50.32,114.13,0.07,2.66
Australia,2021,1,40.61,111.81,0.12,3.55
Australia,2020,4,40.3,99.47,0.12,4.32
Australia,2020,3,43.23,117.51,0.13,5.14
Australia,2020,2,0.0,0.0,0.0,0.0
Australia,2020,1,67.09,253.02,0.4,2.98
Australia,2019,4,86.92,330.11,1.19,6.27
Australia,2019,3,79.29,291.9,0.92,3.57
Australia,2019,2,102.45,325.07,1.57,5.98
Australia,2019,1,73.93,192.78,0.37,2.14
Australia,2018,4,89.57,303.09,1.3,6.13
Australia,2018,3,76.42,327.74,0.99,3.7
Australia,2018,2,95.96,314.67,1.55,5.52
Australia,2018,1,85.77,309.65,0.35,2.65
China,2022,1,166.99,634.74,0.48,3.12
China,2021,4,115.33,423.24,0.26,2.34
China,2021,3,111.11,344.09,0.15,2.31
China,2021,2,129.69,291.27,0.29,2.84
China,2021,1,170.31,470.62,0.91,5.21
China,2020,4,120.62,285.87,0.46,4.47
China,2020,3,101.62,281.11,0.36,3.76
China,2020,2,0.0,0.0,0.0,0.0
China,2020,1,100.15,339.95,0.81,1.15
China,2019,4,89.32,328.18,0.52,0.77
China,2019,3,118.48,438.98,0.37,0.99
China,2019,2,129.12,396.66,0.51,0.86
China,2019,1,117.72,302.82,1.02,0.86
China,2018,4,157.69,487.27,0.98,1.34
China,2018,3,162.69,690.77,0.48,1.24
China,2018,2,150.31,498.78,0.76,1.19
China,2018,1,214.16,763.38,1.7,2.2
Korea,2022,1,43.5,163.88,0.13,3.33
Korea,2021,4,52.34,178.13,0.11,4.05
Korea,2021,3,61.37,193.4,0.03,3.42
Korea,2021,2,74.95,171.74,0.04,2.6
Korea,2021,1,79.84,221.76,0.05,2.7
Korea,2020,4,70.96,178.09,0.05,4.38
Korea,2020,3,38.3,103.43,0.02,2.7
Korea,2020,2,0.0,0.0,0.0,0.0
Korea,2020,1,49.76,173.06,0.4,1.86
Korea,2019,4,79.38,296.76,0.65,3.86
Korea,2019,3,65.42,243.32,0.27,3.14
Korea,2019,2,89.02,279.25,0.57,4.18
Korea,2019,1,51.84,133.6,0.33,1.13
Korea,2018,4,75.68,245.81,0.51,2.85
Korea,2018,3,68.45,288.74,0.21,2.58
Korea,2018,2,91.48,301.57,0.54,4.08
Korea,2018,1,71.21,262.72,0.36,2.25
Emirates,2022,1,84.4,313.22,0.16,1.01
Emirates,2021,4,130.39,485.64,0.29,1.87
Emirates,2021,3,101.48,310.89,0.32,1.58
Emirates,2021,2,216.16,491.73,0.27,2.32
Emirates,2021,1,175.13,478.72,0.27,2.67
Emirates,2020,4,100.2,254.51,0.2,2.98
Emirates,2020,3,99.96,279.88,0.32,3.57
Emirates,2020,2,0.0,0.0,0.0,0.0
Emirates,2020,1,110.87,392.11,0.19,1.14
