,accommodation,year,month,travellers,nights,avg_stay
360,Campings,2008,Jul,71544.0,277925.0,3.9
361,Campings,2008,Aug,105991.0,395695.0,3.7
362,Campings,2008,Sep,11432.0,52746.0,4.6
363,Campings,2008,Oct,633.0,1491.0,2.4
364,Campings,2008,Nov,532.0,1034.0,1.9
365,Campings,2008,Dec,221.0,432.0,2.0
366,Campings,2009,Jan,126.0,169.0,1.3
367,Campings,2009,Feb,356.0,578.0,1.6
368,Campings,2009,Mar,935.0,1717.0,1.8
369,Campings,2009,Apr,4412.0,14013.0,3.2
370,Campings,2009,May,4134.0,15136.0,3.7
371,Campings,2009,Jun,18302.0,66531.0,3.6
372,Campings,2009,Jul,66835.0,272361.0,4.1
373,Campings,2009,Aug,103423.0,401702.0,3.9
374,Campings,2009,Sep,15848.0,67740.0,4.3
375,Campings,2009,Oct,876.0,1907.0,2.2
376,Campings,2009,Nov,347.0,708.0,2.0
377,Campings,2009,Dec,225.0,464.0,2.1
378,Campings,2010,Jan,166.0,310.0,1.9
379,Campings,2010,Feb,268.0,475.0,1.8
380,Campings,2010,Feb,268.0,475.0,1.8
381,Campings,2010,Mar,1335.0,2303.0,1.7
382,Campings,2010,Apr,4137.0,10967.0,2.7
383,Campings,2010,May,4679.0,11073.0,2.4
384,Campings,2010,Jun,17377.0,62442.0,3.6
385,Campings,2010,Jul,77417.0,287387.0,3.7
386,Campings,2010,Aug,119043.0,437695.0,3.7
387,Campings,2010,Sep,17381.0,61496.0,3.5
388,Campings,2010,Oct,1052.0,2348.0,2.2
389,Campings,2010,Nov,330.0,652.0,2.0
390,Campings,2010,Dec,147.0,322.0,2.2
391,Campings,2011,Jan,223.0,363.0,1.6
392,Campings,2011,Feb,352.0,557.0,1.6
393,Campings,2011,Mar,420.0,799.0,1.9
394,Campings,2011,Apr,4712.0,14242.0,3.0
395,Campings,2011,May,4461.0,13167.0,3.0
396,Campings,2011,Jun,19665.0,74681.0,3.8
397,Campings,2011,Jul,79498.0,287296.0,3.6
