Comunidades y Ciudades Autónomas de destino	País de residencia	Periodo	Total
Galicia	Resto de América	2019T4	357,76
Galicia	Resto de América	2019T3	337,28
Galicia	Resto de América	2019T2	323,80
Galicia	Resto de América	2019T1	221,46
Galicia	Resto de América	2018T4	300,07
Galicia	Resto de América	2018T3	331,67
Galicia	Resto de América	2018T2	349,83
Galicia	Resto de América	2018T1	409,76
Galicia	Australia	2022T1	258,92
Galicia	Australia	2021T4	246,60
Galicia	Australia	2021T3	168,93
Galicia	Australia	2021T2	114,13
Galicia	Australia	2021T1	111,81
Galicia	Australia	2020T4	99,47
Galicia	Australia	2020T3	117,51
Galicia	Australia	2020T2	.
Galicia	Australia	2020T1	253,02
Galicia	Australia	2019T4	330,11
Galicia	Australia	2019T3	291,90
Galicia	Australia	2019T2	325,07
Galicia	Australia	2019T1	192,78
Galicia	Australia	2018T4	303,09
Galicia	Australia	2018T3	327,74
Galicia	Australia	2018T2	314,67
Galicia	Australia	2018T1	309,65
Galicia	China	2022T1	634,74
Galicia	China	2021T4	423,24
Galicia	China	2021T3	344,09
Galicia	China	2021T2	291,27
Galicia	China	2021T1	470,62
Galicia	China	2020T4	285,87
Galicia	China	2020T3	281,11
Galicia	China	2020T2	.
Galicia	China	2020T1	339,95
Galicia	China	2019T4	328,18
Galicia	China	2019T3	438,98
Galicia	China	2019T2	396,66
Galicia	China	2019T1	302,82
Galicia	China	2018T4	487,27
Galicia	China	2018T3	690,77
Galicia	China	2018T2	498,78
Galicia	China	2018T1	763,38
Galicia	Corea	2022T1	163,88
Galicia	Corea	2021T4	178,13
Galicia	Corea	2021T3	193,40
Galicia	Corea	2021T2	171,74
Galicia	Corea	2021T1	221,76
Galicia	Corea	2020T4	178,09
Galicia	Corea	2020T3	103,43
Galicia	Corea	2020T2	.
Galicia	Corea	2020T1	173,06
Galicia	Corea	2019T4	296,76
Galicia	Corea	2019T3	243,32
Galicia	Corea	2019T2	279,25
Galicia	Corea	2019T1	133,60
Galicia	Corea	2018T4	245,81
Galicia	Corea	2018T3	288,74
Galicia	Corea	2018T2	301,57
Galicia	Corea	2018T1	262,72
Galicia	Emiratos Árabes Unidos	2022T1	313,22
Galicia	Emiratos Árabes Unidos	2021T4	485,64
Galicia	Emiratos Árabes Unidos	2021T3	310,89
Galicia	Emiratos Árabes Unidos	2021T2	491,73
Galicia	Emiratos Árabes Unidos	2021T1	478,72
Galicia	Emiratos Árabes Unidos	2020T4	254,51
Galicia	Emiratos Árabes Unidos	2020T3	279,88
Galicia	Emiratos Árabes Unidos	2020T2	.
Galicia	Emiratos Árabes Unidos	2020T1	392,11
Galicia	Emiratos Árabes Unidos	2019T4	426,09
Galicia	Emiratos Árabes Unidos	2019T3	388,61
Galicia	Emiratos Árabes Unidos	2019T2	408,27
Galicia	Emiratos Árabes Unidos	2019T1	416,55
Galicia	Emiratos Árabes Unidos	2018T4	640,11
Galicia	Emiratos Árabes Unidos	2018T3	562,04
Galicia	Emiratos Árabes Unidos	2018T2	568,26
Galicia	Emiratos Árabes Unidos	2018T1	1.054,84
Galicia	Japón	2022T1	133,46
Galicia	Japón	2021T4	155,57
Galicia	Japón	2021T3	163,88
Galicia	Japón	2021T2	148,36
Galicia	Japón	2021T1	126,94
Galicia	Japón	2020T4	155,97
Galicia	Japón	2020T3	139,82
Galicia	Japón	2020T2	.
Galicia	Japón	2020T1	190,60
Galicia	Japón	2019T4	250,74
Galicia	Japón	2019T3	266,50
Galicia	Japón	2019T2	248,81
Galicia	Japón	2019T1	129,87
Galicia	Japón	2018T4	201,71
Galicia	Japón	2018T3	259,04
Galicia	Japón	2018T2	291,79
Galicia	Japón	2018T1	205,55
Galicia	Turquía	2022T1	197,80
Galicia	Turquía	2021T4	205,66
Galicia	Turquía	2021T3	146,81
Galicia	Turquía	2021T2	107,88
Galicia	Turquía	2021T1	116,59
Galicia	Turquía	2020T4	149,23
Galicia	Turquía	2020T3	125,30
Galicia	Turquía	2020T2	.
Galicia	Turquía	2020T1	232,94
Galicia	Turquía	2019T4	347,36
Galicia	Turquía	2019T3	272,54
Galicia	Turquía	2019T2	273,96
Galicia	Turquía	2019T1	174,31
Galicia	Turquía	2018T4	261,11
Galicia	Turquía	2018T3	272,20
Galicia	Turquía	2018T2	225,42
