Totales Territoriales	Comunidades y Ciudades Autónomas	Residencia: Nivel 1	Residencia: Nivel 2	Viajeros y pernoctaciones	Periodo	Total
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2015M06	23
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2015M05	48
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2015M04	3
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2015M03	1
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2015M02	2
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2015M01	5
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2014M12	1
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2014M11	2
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2014M10	52
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2014M09	125
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2014M08	617
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2014M07	805
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2014M06	252
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2014M05	125
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2014M04	183
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2014M03	87
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2014M02	11
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2014M01	10
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2022M08	102.632
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2022M07	88.614
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2022M06	109.135
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2022M05	94.566
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2022M04	36.361
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2022M03	7.377
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2022M02	2.812
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2022M01	2.106
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2021M12	1.701
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2021M11	3.902
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2021M10	46.371
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2021M09	50.844
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2021M08	42.395
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2021M07	41.351
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2021M06	15.927
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2021M05	1.610
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2021M04	774
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2021M03	81
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2021M02	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2021M01	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2020M12	.
