Tipo de alojamiento	Total Nacional	Comunidades y Ciudades Autónomas	Periodo	Total
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2010M09	2,19
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2010M08	2,42
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2010M07	2,26
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2010M06	2,08
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2010M05	1,99
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2010M04	2,09
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2010M03	2,06
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2010M02	2,00
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2010M01	2,02
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2009M12	2,00
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2009M11	2,14
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2009M10	2,11
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2009M09	2,17
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2009M08	2,44
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2009M07	2,36
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2009M06	2,15
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2009M05	2,07
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2009M04	2,13
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2009M03	2,13
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2009M02	2,03
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2009M01	2,06
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2008M12	2,10
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2008M11	2,17
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2008M10	2,15
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2008M09	2,21
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2008M08	2,45
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2008M07	2,38
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2008M06	2,16
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2008M05	2,07
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2008M04	2,06
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2008M03	2,19
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2008M02	2,07
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2008M01	2,07
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2007M12	2,05
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2007M11	2,12
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2007M10	2,08
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2007M09	2,13
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2007M08	2,44
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2007M07	2,30
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2007M06	2,11
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2007M05	1,98
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2007M04	2,07
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2007M03	2,01
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2007M02	1,98
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2007M01	2,00
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2006M12	2,02
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2006M11	2,03
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2006M10	2,10
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2006M09	2,14
