Tipo de alojamiento	Total Nacional	Comunidades y Ciudades Autónomas	Residencia: Nivel 1	Residencia: Nivel 2	Viajeros y pernoctaciones	Periodo	Total
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2004M06	295.654
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2004M05	254.221
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2004M04	244.930
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2004M03	186.054
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2004M02	151.684
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2004M01	132.698
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2003M12	142.905
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2003M11	158.651
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2003M10	212.470
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2003M09	284.889
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2003M08	425.793
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2003M07	294.373
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2003M06	220.996
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2003M05	195.477
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2003M04	182.461
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2003M03	155.501
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2003M02	123.509
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2003M01	122.462
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2002M12	123.353
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2002M11	136.043
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2002M10	183.697
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2002M09	208.683
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2002M08	377.593
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2002M07	251.747
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2002M06	177.250
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2002M05	157.533
