Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	1999M11	148.948
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	1999M10	240.319
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	1999M09	309.812
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	1999M08	377.907
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	1999M07	301.135
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	1999M06	232.667
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	1999M05	197.296
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	1999M04	183.923
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	1999M03	149.537
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	1999M02	108.589
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	1999M01	99.120
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2022M08	157.822
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2022M07	150.376
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2022M06	168.803
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2022M05	170.461
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2022M04	102.536
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2022M03	41.371
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2022M02	24.579
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2022M01	17.605
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2021M12	22.331
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2021M11	34.675
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2021M10	94.344
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2021M09	99.283
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2021M08	82.000
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2021M07	61.787
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2021M06	40.803
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2021M05	16.311
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2021M04	6.941
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2021M03	5.974
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2021M02	3.713
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2021M01	4.377
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2020M12	4.356
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2020M11	5.354
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2020M10	15.356
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2020M09	21.403
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2020M08	38.622
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2020M07	25.567
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2020M06	3.034
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2020M05	441
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2020M04	0
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2020M03	15.444
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2020M02	35.438
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2020M01	29.141
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2019M12	32.696
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2019M11	43.857
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2019M10	141.469
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2019M09	197.865
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2019M08	156.802
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2019M07	134.432
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2019M06	168.198
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2019M05	168.166
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2019M04	111.219
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2019M03	46.332
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2019M02	26.732
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2019M01	26.066
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2018M12	36.030
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2018M11	41.644
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2018M10	120.873
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2018M09	171.572
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2018M08	155.147
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2018M07	130.582
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2018M06	143.035
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2018M05	151.154
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2018M04	84.224
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2018M03	48.437
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2018M02	30.444
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2018M01	25.721
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2017M12	30.677
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2017M11	45.864
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2017M10	152.106
