Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2005M02	28.969
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2005M01	27.332
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2004M12	30.228
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2004M11	35.475
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2004M10	49.623
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2004M09	48.532
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2004M08	63.873
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2004M07	41.565
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2004M06	41.295
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2004M05	40.002
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2004M04	38.985
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2004M03	35.243
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2004M02	27.645
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2004M01	23.532
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2003M12	27.701
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2003M11	31.872
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2003M10	37.859
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2003M09	40.247
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2003M08	54.561
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2003M07	38.735
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2003M06	38.932
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2003M05	38.797
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2003M04	34.527
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2003M03	30.089
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2003M02	28.391
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2003M01	28.310
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2002M12	20.474
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2002M11	32.780
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2002M10	39.746
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2002M09	40.276
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2002M08	50.856
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2002M07	35.894
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2002M06	35.247
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2002M05	36.346
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2002M04	31.704
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2002M03	27.502
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2002M02	20.443
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2002M01	17.971
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2001M12	21.053
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2001M11	25.898
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2001M10	34.843
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2001M09	38.837
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2001M08	49.420
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2001M07	38.195
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2001M06	28.486
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2001M05	29.691
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2001M04	31.893
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2001M03	21.566
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2001M02	16.614
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2001M01	16.746
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2000M12	16.919
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2000M11	22.175
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2000M10	28.934
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2000M09	33.570
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2000M08	43.697
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2000M07	32.923
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2000M06	25.070
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2000M05	29.330
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2000M04	30.611
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2000M03	18.795
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2000M02	14.141
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2000M01	13.952
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	1999M12	19.138
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	1999M11	19.244
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	1999M10	35.095
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	1999M09	35.582
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	1999M08	47.367
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	1999M07	29.056
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	1999M06	21.960
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	1999M05	18.179
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	1999M04	17.440
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	1999M03	14.802
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	1999M02	14.018
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	1999M01	13.729
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2022M08	11.415
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2022M07	7.903
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2022M06	6.576
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2022M05	5.988
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2022M04	5.893
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2022M03	3.384
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2022M02	3.070
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2022M01	2.154
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2021M12	2.430
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2021M11	2.867
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2021M10	4.381
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2021M09	4.731
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2021M08	6.060
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2021M07	4.410
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2021M06	3.221
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2021M05	1.790
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2021M04	1.356
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2021M03	841
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2021M02	748
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2021M01	753
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2020M12	846
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2020M11	681
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2020M10	2.267
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2020M09	3.423
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2020M08	4.696
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2020M07	2.963
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2020M06	1.110
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2020M05	81
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2020M04	0
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2020M03	5.316
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2020M02	6.914
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2020M01	5.089
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2019M12	6.421
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2019M11	5.932
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2019M10	6.285
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2019M09	10.199
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2019M08	11.705
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2019M07	8.221
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2019M06	8.909
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2019M05	8.672
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2019M04	6.890
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2019M03	7.085
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2019M02	4.948
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2019M01	5.110
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2018M12	6.207
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2018M11	5.226
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2018M10	7.823
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2018M09	9.256
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2018M08	10.392
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2018M07	10.600
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2018M06	6.902
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2018M05	8.200
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2018M04	5.901
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2018M03	4.746
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2018M02	5.541
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2018M01	3.184
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2017M12	3.862
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2017M11	3.709
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2017M10	6.229
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2017M09	8.647
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2017M08	9.836
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2017M07	7.951
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2017M06	7.610
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2017M05	6.011
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2017M04	7.551
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2017M03	5.487
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2017M02	4.141
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2017M01	3.480
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2016M12	3.554
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2016M11	3.565
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2016M10	5.055
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2016M09	7.839
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2016M08	8.801
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2016M07	7.522
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2016M06	5.518
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2016M05	4.989
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2016M04	9.330
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2016M03	7.537
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2016M02	4.289
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2016M01	3.566
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2015M12	4.101
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2015M11	2.970
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2015M10	4.075
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2015M09	6.646
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2015M08	10.009
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2015M07	5.925
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2015M06	5.039
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2015M05	5.495
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2015M04	4.275
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2015M03	4.560
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2015M02	3.227
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2015M01	1.965
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2014M12	2.820
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2014M11	2.490
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2014M10	4.129
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2014M09	6.155
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2014M08	7.482
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2014M07	4.235
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2014M06	4.361
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2014M05	5.314
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2014M04	4.204
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2014M03	2.950
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2014M02	3.346
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2014M01	2.657
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2013M12	3.141
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2013M11	3.440
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2013M10	4.202
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2013M09	6.267
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2013M08	7.607
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2013M07	4.990
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2013M06	4.923
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2013M05	5.622
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2013M04	3.914
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2013M03	3.572
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2013M02	2.590
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2013M01	2.356
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2012M12	3.422
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2012M11	3.260
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2012M10	4.559
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2012M09	6.458
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2012M08	7.013
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2012M07	4.922
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2012M06	4.317
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2012M05	4.916
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2012M04	3.202
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2012M03	3.556
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2012M02	2.647
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2012M01	2.245
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2011M12	3.039
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2011M11	3.312
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2011M10	3.839
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2011M09	5.923
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2011M08	6.514
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2011M07	5.453
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2011M06	4.628
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2011M05	4.409
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2011M04	3.967
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2011M03	3.449
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2011M02	3.346
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2011M01	3.141
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2010M12	2.441
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2010M11	2.600
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2010M10	5.088
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2010M09	5.381
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2010M08	6.723
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2010M07	4.771
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2010M06	4.789
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2010M05	5.282
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2010M04	3.581
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2010M03	3.484
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2010M02	2.907
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2010M01	4.974
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2009M12	2.825
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2009M11	4.499
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2009M10	4.904
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2009M09	4.335
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2009M08	5.412
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2009M07	4.359
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2009M06	5.236
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2009M05	4.243
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2009M04	2.694
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2009M03	2.734
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2009M02	3.372
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2009M01	4.288
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2008M12	2.681
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2008M11	3.342
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2008M10	4.633
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2008M09	8.272
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2008M08	7.213
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2008M07	5.950
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2008M06	5.492
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2008M05	8.344
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2008M04	6.699
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2008M03	6.018
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2008M02	4.935
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2008M01	3.476
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2007M12	3.132
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2007M11	3.696
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2007M10	4.437
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2007M09	4.231
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2007M08	7.122
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2007M07	4.039
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2007M06	3.206
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2007M05	4.491
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2007M04	3.808
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2007M03	2.933
