,come_from,avg_person_€,year,trimester,avg_person_day_€
584,Resto del mundo,367.79,2020,3,134.42
585,Resto del mundo,.,2020,2,.
586,Resto del mundo,426.85,2020,1,123.2
587,Resto del mundo,426.02,2019,4,114.14
588,Resto del mundo,375.74,2019,3,101.42
589,Resto del mundo,406.59,2019,2,129.7
590,Resto del mundo,318.48,2019,1,123.33
591,Resto del mundo,423.65,2018,4,130.81
592,Resto del mundo,430.98,2018,3,101.37
593,Resto del mundo,358.48,2018,2,110.11
594,Resto del mundo,528.21,2018,1,147.96
